colsample_bytree,learning_rate,max_depth,subsample,n_estimators,score,cross_validation_score,cross_validation_error_margin
1.0,0.1,7,0.5,783,0.8715083798882681,0.8081036971941498,0.014038795504780575
1.0,0.2,4,0.8,1114,0.8715083798882681,0.8081036971941498,0.012617994033034709
0.3,0.8,9,0.5,152,0.88268156424581,0.8091959073504489,0.028021929619830882
1.0,0.1,15,0.5,731,0.8603351955307262,0.8092210156299039,0.018934160862179136
0.8,0.008,12,0.9,5000,0.8715083798882681,0.8092272926997677,0.02076946305953912
0.8,0.1,14,0.5,1025,0.8547486033519553,0.8092272926997678,0.017467796362365444
0.3,0.8,14,0.8,255,0.88268156424581,0.8092335697696316,0.02273153470564169
1.0,0.1,4,0.5,655,0.888268156424581,0.8092398468394952,0.01728993798052337
0.3,0.8,4,0.5,211,0.8324022346368715,0.8103383340656581,0.02101265427218969
0.9,0.8,3,0.9,519,0.8603351955307262,0.8103634423451134,0.028209744190755254
1.0,0.2,5,0.9,912,0.8603351955307262,0.8103634423451134,0.02563041772349621
0.9,0.8,4,0.5,240,0.8603351955307262,0.811436821291821,0.019428398235689103
0.8,0.2,5,0.5,856,0.8547486033519553,0.8114682066411399,0.015038685672001716
0.3,0.8,4,0.9,301,0.8435754189944135,0.8125729709371665,0.028313818659707994
1.0,0.2,3,0.5,907,0.8156424581005587,0.8125855250768941,0.013803897472666625
0.9,0.1,4,0.5,1043,0.8603351955307262,0.8126043562864854,0.021728976532580047
0.9,0.2,3,0.5,774,0.88268156424581,0.8126169104262131,0.026321937274583873
0.3,0.8,4,0.9,202,0.8603351955307262,0.8136902893729208,0.030863200362161065
0.9,0.8,3,0.5,266,0.88268156424581,0.8136902893729208,0.025976805564599706
0.3,0.8,3,0.8,535,0.8435754189944135,0.8137153976523759,0.02878502038544014
0.3,0.8,4,0.8,257,0.888268156424581,0.815956311593748,0.02240794374946869
1.0,0.008,4,1.0,5000,0.8603351955307262,0.8159563115937483,0.017684623661322705
0.9,0.8,3,0.5,276,0.8770949720670391,0.8159625886636119,0.01724231683791952
